,Date,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
0,2015-09-13,0.0,175.61716251405653,,,,144.6623748750377,206.57195015307536,0.0,0.0,0.0,-20.186040514056543,-51.140828153075375,10.768747124962289,0.0,0.0,0.0
1,2015-09-20,111.311218,171.46491876530035,171.46491876530035,140.51016881211098,202.41966871848973,140.51016881211098,202.41966871848973,171.46491876530035,139.53115096364195,201.4064743465089,-60.15370076530036,-91.10845071848973,-29.19895081211098,-60.15370076530036,-90.0952563465089,-28.219932963641952
2,2015-09-27,208.750679,168.40367174260965,168.40367174260965,137.43904201410132,199.368301471118,137.43904201410132,199.368301471118,339.86859050790997,297.55316280835666,385.35215773007945,-70.96421074260965,-101.92884047111801,-39.999581014101324,-131.11791150791,-176.60147873007946,-88.8024838083567
3,2015-10-04,330.032227,168.5177511389489,168.5177511389489,137.5413685831455,199.4941336947523,137.5413685831455,199.4941336947523,508.3863416468589,452.5204076057754,563.5484963745115,-47.23620313894891,-78.21258569475229,-16.259820583145498,-178.35411464685893,-233.5162693745115,-122.48818060577545
4,2015-10-11,446.786187,173.09002719950902,173.09002719950902,142.10396779437465,204.0760866046434,142.10396779437465,204.0760866046434,681.4763688463679,615.4388681794418,742.821949468683,-56.33606719950902,-87.32212660464339,-25.350007794374648,-234.69018184636795,-296.035762468683,-168.65268117944186
5,2015-10-18,564.166299,176.28294930622081,176.28294930622081,145.2853822131002,207.28051639934142,145.2853822131002,207.28051639934142,857.7593181525888,783.9662572710612,928.7177684938051,-58.90283730622082,-89.90040439934143,-27.90527021310021,-293.5930191525888,-364.5514694938052,-219.79995827106114
6,2015-10-25,685.640504,182.4231679137836,182.4231679137836,151.41612663537927,213.43020919218793,151.41612663537927,213.43020919218793,1040.1824860663723,960.5820707478847,1121.4741053704931,-60.9489629137836,-91.95600419218793,-29.941921635379273,-354.5419820663724,-435.83360137049334,-274.94156674788474
7,2015-11-01,803.06878,181.34819665141032,181.34819665141032,150.3298924241846,212.36650087863603,150.3298924241846,212.36650087863603,1221.5306827177826,1134.8557310714439,1308.440981511174,-63.91992065141032,-94.93822487863603,-32.90161642418461,-418.4619027177827,-505.37220151117407,-331.78695107144375
8,2015-11-08,917.1736159999999,178.3607345581815,178.3607345581815,147.33315861286277,209.38831050350024,147.33315861286277,209.38831050350024,1399.8914172759642,1303.4730182498959,1492.7239452784054,-64.25589855818149,-95.28347450350023,-33.22832261286277,-482.71780127596423,-575.5503292784052,-386.2994022498957
9,2015-11-15,1036.5285279999998,181.18046820555998,181.18046820555998,150.1418737836927,212.21906262742726,150.1418737836927,212.21906262742726,1581.071885481524,1480.5765359605516,1681.0332583273387,-61.82555620555998,-92.86415062742726,-30.78696178369269,-544.5433574815243,-644.504730327339,-444.04800796055156
10,2015-11-22,1165.8537689999998,186.78432342474372,186.78432342474372,155.7366596846103,217.83198716487715,155.7366596846103,217.83198716487715,1767.8562089062677,1658.2744504158559,1874.7564159742165,-57.45908242474371,-88.50674616487714,-26.411418684610283,-602.0024399062679,-708.9026469742165,-492.42068141585605
11,2015-11-29,1298.1171199999999,185.63308695250703,185.63308695250703,154.57464895604468,216.6915249489694,154.57464895604468,216.6915249489694,1953.4892958587748,1833.4758337483736,2065.0168045817036,-53.36973595250703,-84.4281739489694,-22.311297956044683,-655.3721758587749,-766.8996845817032,-535.3587137483736
12,2015-12-06,1430.669473,181.53304052798524,181.53304052798524,150.46573553236377,212.6003455236067,150.46573553236377,212.6003455236067,2135.02233638676,2010.7849642568603,2252.8769145496412,-48.980687527985225,-80.0479925236067,-17.913382532363755,-704.3528633867601,-822.2074415496412,-580.1154912568604
13,2015-12-13,1565.726434,185.3307124344509,185.3307124344509,154.25287723983655,216.40854762906525,154.25287723983655,216.40854762906525,2320.353048821211,2184.486728595394,2448.294765609361,-50.2737514344509,-81.35158662906525,-19.19591623983655,-754.626614821211,-882.568331609361,-618.7602945953939
14,2015-12-20,1703.673349,185.65925253013177,185.65925253013177,154.5727527070427,216.74575235322084,154.5727527070427,216.74575235322084,2506.0123013513426,2364.6725860547735,2633.824516170775,-47.71233753013178,-78.79883735322085,-16.625837707042706,-802.3389523513428,-930.1511671707751,-660.9992370547736
15,2015-12-27,1840.7532899999999,185.25676267318636,185.25676267318636,154.55086313869668,215.96266220767603,154.55086313869668,215.96266220767603,2691.269064024529,2541.2914484797307,2829.501550206572,-48.17682167318637,-78.88272120767604,-17.470922138696693,-850.5157740245292,-988.7482602065718,-700.5381584797306
16,2016-01-03,1961.2160199999998,185.53954678733484,185.53954678733484,154.82512784776534,216.2539657269043,154.82512784776534,216.2539657269043,2876.808610811864,2724.1295697553996,3017.3953718544503,-65.07681678733485,-95.79123572690432,-34.36239784776535,-915.592590811864,-1056.1793518544505,-762.9135497553995
17,2016-01-10,2077.151147,188.93792499444203,188.93792499444203,158.21337120776533,219.66247878111872,158.21337120776533,219.66247878111872,3065.7465358063064,2904.8696434125527,3215.671490833043,-73.00279799444203,-103.72735178111873,-42.27824420776534,-988.5953888063061,-1138.5203438330425,-827.7184964125523
